study;study_id;country;sex;n_veg;mean_veg;sd_veg;n_omni;mean_omni;sd_omni;treat;measure
Armstrong et al., (1979); 1;U.S.;M/F;106 ;23 ; 4.5;106 ;23.90; 3.9;vegetarian;bmi
Knuiman et al., (1982); 2;The Netherlands;M;56 ;21.4 ; 1.7;52 ;24.40; 2.3;vegetarian;bmi
Shultz et al., (1983); 3;U.S.;M;20 ;24 ; 5;17 ;24 ; 3;vegetarian;bmi
Shultz et al., (1983); 3;U.S.;F;31 ;23 ; 4;36 ;24 ; 4;vegetarian;bmi
Shultz et al., (1983); 4 ;U.S.;F;14 ;22.0 ; 4.1;9 ;23.3 ; 3.0;vegetarian;bmi
Faber et al., (1986); 5;South Africa;M;14 ;23.9 ; 3.5;10 ;24.6 ; 2.1;vegetarian;bmi
Faber et al., (1986); 5;South Africa;F;19 ;21.5 ; 3.1;12 ;21.1 ; 1.5;vegetarian;bmi
Melby et al., (1989); 6;U.S.;M/F;55 ;26.3 ; 0.5;59 ;31.4 ; 0.9;vegetarian;bmi
Melby et al., (1989); 6;U.S.;M/F;164 ;24.6 ; 0.4;100 ;27.4 ; 0.6;vegetarian;bmi
Nieman et al., (1989); 7;U.S.;F;19 ;22.5 ; 0.6;12 ;24.2 ; 0.8;vegetarian;bmi
Nieman et al., (1989); 8;U.S.;F;23 ;22.8 ; 0.5;14 ;24.2 ; 0.8;vegetarian;bmi
Thorogood et al., (1990); 9;U.K.;M;26 ;23.1 ; 0.1;26 ;23.1 ; 0.1;vegetarian;bmi
Thorogood et al., (1990); 9;U.K.;F;26 ;21.8 ; 0.1;26 ;22.7 ; 0.1;vegetarian;bmi
Reddy et al., (1992); 10;U.K.;F;40 ;28.5 ; 0.9;22 ;33.8 ; 0.8;vegetarian;bmi
Supawan et al., (1992); 11;Thailand;M;64 ;19.8 ; 0.6;32 ;21.4 ; 0.7;vegetarian;bmi
Supawan et al., (1992); 11;Thailand;F;68 ;19.9 ; 0.6;36 ;20.6 ; 0.7;vegetarian;bmi
Melby et al., (1993); 12;U.S.;M/F;112 ;26.0 ; 0.6;91 ;29.7 ; 0.9;vegetarian;bmi
Pan et al., (1993); 13;Taiwan;M;23 ;20.0 ; 2.3;20 ;21.3 ; 1.2;vegetarian;bmi
Pan et al., (1993); 13;Taiwan;F;32 ;20.1 ; 2.8;39 ;20.7 ; 2.6;vegetarian;bmi
Melby et al., (1994); 14;U.S.;M/F;66 ;26.8 ; 0.8;45 ;28.6 ; 0.8;vegetarian;bmi
Krajcovicova et al., (1994); 15 ;Slovak Rep.;M;31 ;22.0 ; 0.2;24 ;23.3 ; 0.2;vegetarian;bmi
Krajcovicova et al., (1994); 15;Slovak Rep.;F;28 ;19.9 ; 0.2;26 ;21.6 ; 0.1;vegetarian;bmi
Krajcovicova et al, (1995); 16;Slovak Rep.;M/F;12 ;23.1 ; 0.4;14 ;24.7 ; 0.5;vegetarian;bmi
Krajcovicova et al., (1996); 17;Slovak Rep.;M;42 ;21.7 ; 0.2;29 ;23.5 ; 0.2;vegetarian;bmi
Krajcovicova et al., (1996); 17;Slovak Rep.;F;39 ;20.7 ; 0.1;33 ;23.0 ; 0.1;vegetarian;bmi
Williams et al., (1997); 18;U.S.;M;199 ;22.9 ; 2.4;7054 ;23.8 ; 2.5;vegetarian;bmi
Williams et al., (1997); 18;U.S.;F;152 ;20.8 ; 2.0;1837 ;21.3 ; 2.5;vegetarian;bmi
Harman et al., (1998); 19;New Zealand;M;12 ;24.1 ; 3.1;11 ;26.4 ; 3.3;vegetarian;bmi
Harman et al., (1998); 19;New Zealand;F;12 ;23.6 ; 3.1;12 ;25.8 ; 2.9;vegetarian;bmi
Famodu et al., (1999); 20;Niegeria;M/F;8 ;26.9 ; 0.7;40 ;29.1 ; 0.6;vegetarian;bmi
Korpela et al., (1999); 21;Finland;M/F;11 ;20.9 ; 1.7;7 ;23.1 ; 1.0;vegetarian;bmi
Thomas et al., (1999); 22;U.K.;F;578 ;22.5 ; 0.5;376 ;24 ; 0.6;vegetarian;bmi
Lee et al., (2000); 23;China;M;15 ;23.1 ; 3.1;56 ;24.3 ; 3.6;vegetarian;bmi
Lee et al., (2000); 23;China;F;45 ;23.2 ; 3.4;77 ;23.7 ; 3.6;vegetarian;bmi
Kwok et al., (2000); 24;China;F;90 ;23.0 ; 3.8;90 ;22.1 ; 3.8;vegetarian;bmi
Krajcovicova et al., (2000); 25;Slovak Rep.;M/F;54 ;22.8 ; 0.2;59 ;24.2 ; 0.3;vegetarian;bmi
Lu et al., (2000); 26;Taiwan;M;26 ;20.8 ; 3.0;27 ;22.9 ; 2.4;vegetarian;bmi
Lu et al., (2000); 26;Taiwan;F ;30 ;20.0 ; 2.8;26 ;22.5 ; 3.0;vegetarian;bmi
Lu et al., (2000); 26;Taiwan;F ;53 ;20.7 ; 2.6;54 ;22.0 ; 2.6;vegetarian;bmi
Lin et al., (2001); 27;Taiwan;M/F;20 ;23.1 ; 3.1;20 ;24.8 ; 0.1;vegetarian;bmi
Krajcovicova et al., (2003); 28;Slovak Rep.;M/F;110 ;22.2 ; 0.2;101 ;24.9 ; 0.4;vegetarian;bmi
Kwok et al., (2005); 29;China;M/F;49 ;22.6 ; 2.7;49 ;22.5 ; 3.0;vegetarian;bmi
Alewaeters et al., (2005); 30;Belgium;M;120 ;22.6 ; 3.6;4666 ;25.7 ; 4.0;vegetarian;bmi
Alewaeters et al., (2005); 30;Belgium;F;206 ;22.1 ; 3.1;4993 ;24.6 ; 4.8;vegetarian;bmi
Newby et al., (2005); 31;Sweden;F;159 ;23.4 ; 3.5;54257 ;24.7 ; 3.9;vegetarian;bmi
Valachovicova et al., (2006); 32;Slovak Rep.;M/F;95 ;22.1 ; 0.2;107 ;22.5 ; 0.2;vegetarian;bmi
Su et al., (2006); 33;Taiwan;F;57 ;23.0 ; 2.7;61 ;23.5 ; 2.7;vegetarian;bmi
Hung et al., (2006); 34;Taiwan;F;49 ;20.9 ; 0.4;49 ;22.0 ; 0.3;vegetarian;bmi
Fu et al., (2006); 35;Taiwan;F;35 ;23 ; 1;35 ;24 ; 1;vegetarian;bmi
De Biase et al., (2007); 36;Brazil;M/F;19 ;23.5 ; 4.5;22 ;25.4 ; 5.2;vegetarian;bmi
Teixeira et al., (2007); 37;Brazil;M/F;67 ;22.6 ; 3.1;134 ;26.7 ; 5.1;vegetarian;bmi
Yen et al., (2008); 38;Taiwan;M/F;21 ;22.6 ; 2.5;28 ;23.2 ; 4.3;vegetarian;bmi
Fu et al., (2008); 39;Taiwan;F;35 ;22.8 ; 0.5;35 ;23.8 ; 0.6;vegetarian;bmi
Slavicek et al., (2008); 40;Czech Rep.;M/F;195 ;22.1 ; 4.8;201 ;25.1 ; 5.2;vegetarian;bmi
Chen et al., (2008); 41;Taiwan;M/F;99 ;22.9 ; 2.8;99 ;23.8 ; 3.6;vegetarian;bmi
Karabudak et al., (2008); 42;Turkey;F;26 ;21.7 ; 2.7;26 ;21.6 ; 2.6;vegetarian;bmi
Pitla et al., (2009); 43;India;M;14 ;25.0 ; 2.7;15 ;24.6 ; 2.2;vegetarian;bmi
Pitla et al., (2009); 43;India;F;12 ;25.3 ; 3.1;11 ;23.9 ; 4.0;vegetarian;bmi
Sambol et al., (2009); 44;Croatia;M/F;30 ;23.1 ; 3.0;50 ;23.3 ; 2.7;vegetarian;bmi
Lin et al., (2010); 45;Taiwan;M/F;102 ;23.4 ; 3.9;102 ;23.3 ; 3.5;vegetarian;bmi
Cade et al., (2010); 46;U.K.;F;6491 ;23.4 ; 3.9;21951 ;25.1 ; 4.5;vegetarian;bmi
Beezhold et al., (2010); 47;U.S.;M/F;60 ;25.1 ; 0.7;78 ;27.8 ; 0.9;vegetarian;bmi
Aubertin-L et al., (2011); 48;Finland;F;11 ;22.5 ; 5.5;10 ;25.8 ; 8.9;vegetarian;bmi
Yang et al., (2011); 49;China;M;171 ;23.6 ; 4.0;129 ;24.4 ; 2.7;vegetarian;bmi
Chen et al., (2011); 50;Taiwan;F;173 ;22.9 ; 2.9;190 ;23.3 ; 3.5;vegetarian;bmi
Stephens et al., (2011); 51;U.S.;M/F;19 ;22.9 ; 1.3;22 ;23.3 ; 0.7;vegetarian;bmi
Gammon et al., (2012); 52;New Zealand;M/F;34 ;23.9 ; 0.8;90 ;25.9 ; 0.7;vegetarian;bmi
Pettersen et al., (2012); 53;U.S.;M/F;184 ;25.1 ; 5.2;198 ;29.5 ; 6.6;vegetarian;bmi
Kim et al., (2012); 54;Rep. of Korea;M/F;45 ;22.1 ; 2.8;30 ;23.4 ; 2.7;vegetarian;bmi
Kim et al., (2012); 55;Rep. of Korea;F;59 ;22.7 ; 3.4;48 ;25.2 ; 3.0;vegetarian;bmi
Ingenbleek et al., (2012); 56;France;M;24 ;19.3 ; 0.8;15 ;22.1 ; 0.6;vegetarian;bmi
Huang et al., (2012); 57;China;M;103 ;23.7 ; 3.1;128 ;24.3 ; 2.7;vegetarian;bmi
Timko et al., (2012); 58;U.S.;M/F;111 ;23.8 ; 5.9;265 ;24.5 ; 5.3;vegetarian;bmi
Zhang et al., (2013); 59;China;M;170 ;23.6 ; 4.0;126 ;24.4 ; 2.7;vegetarian;bmi
Suja et al., (2013); 60;India;M/F;25 ;21.9 ; 2.4;25 ;24.5 ; 3.1;vegetarian;bmi
Farzana et al., (2013); 61;Bangladesh;M/F;66 ;20.2 ; 3.3;66 ;20.3 ; 2.9;vegetarian;bmi
Jung et al., (2013); 62;Rep. of Korea;M;148 ;25.2 ; 3.4;148 ;22.9 ; 3.1;vegetarian;bmi
Chiang et al., (2013); 63;Taiwan;F;391 ;22.9 ; 2.7;315 ;23.8 ; 3.2;vegetarian;bmi
Orlich et al., (2013); 64;U.S.;M/F;21177 ;26.1 ; 5.3;35359 ;28.3 ; 6.1;vegetarian;bmi
Chiu et al., (2014); 65;Taiwan;F;1139 ;23 ; 3;1611 ;23.5 ; 3;vegetarian;bmi
Chiu et al., (2014); 65;Taiwan;M;349 ;23 ; 3;1289 ;24 ; 3;vegetarian;bmi
Gadgil et al., (2014); 66;U.S.;M/F;91 ;25.8 ; 4.3;59 ;26.6 ; 5.1;vegetarian;bmi
Vinagre et al., (2014); 67;Brazil;M/F;18 ;23.0 ; 1.6;29 ;23.5 ; 1.2;vegetarian;bmi
Key et al., (2014); 68;U.K.;M;4624 ;23.2 ; 3.2;8474 ;24.5 ; 3.3;vegetarian;bmi
Key et al., (2014); 68;U.K.;F;13674 ;22.5 ; 3.5;24017 ;24.2 ; 4.1;vegetarian;bmi
Hardinge et al., (1954); 69;U.S.;M;15 ;243 ; 21.2;15 ;288 ; 49.0;vegetarian;cholesterol
Hardinge et al., (1954); 69;U.S.;F;15 ;269 ; 61.0;15 ;295 ; 62.8;vegetarian;cholesterol
Sacks et al., (1975); 70;U.S.;M/F;115 ;126 ; 30;115 ;184 ; 37;vegetarian;cholesterol
Simons et al., (1978); 71;Australia;M;20 ;175 ; 27;17 ;223 ; 40;vegetarian;cholesterol
Burslem et al., (1978); 72;U.S.;M;25 ;131 ; 17.5;35 ;190 ; 30.5;vegetarian;cholesterol
Burslem et al., (1978); 72;U.S.;F;31 ;140 ; 30;43 ;183.5 ; 31;vegetarian;cholesterol
Armstrong et al., (1979); 1;U.S.;M/F;106 ;232.0 ; 58;106 ;255.2 ; 58;vegetarian;cholesterol
Haines et al., (1980); 73;U.K.;M;25 ;181.7 ; 54.1;211 ;216.6 ; 38.7;vegetarian;cholesterol
Haines et al., (1980); 73;U.K.;F;25 ;201.1 ; 50;71 ;235.9 ; 42.5;vegetarian;cholesterol
Huijbregts et al., (1980); 74;The Netherlands;M/F;7 ;166.7 ; 18.2;7 ;187.2 ; 27.5;vegetarian;cholesterol
Burr et al., (1981); 75;U.K.;M;29 ;193.7 ; 30.9;82 ;222.7 ; 44.5;vegetarian;cholesterol
Burr et al., (1981); 75;U.K.;F;56 ;219.3 ; 35.6;133 ;240.1 ; 41;vegetarian;cholesterol
Lock et al., (1982); 76;U.S.;M;8 ;135 ; 7;10 ;185 ; 8;vegetarian;cholesterol
Lock et al., (1982); 76;U.S.;F;28 ;137 ; 4;26 ;178 ; 5;vegetarian;cholesterol
Knuiman et al., (1982); 2;The Netherlands;M;56 ;181.8 ; 34.8;52 ;212.7 ; 38.7;vegetarian;cholesterol
Liebman M et al., (1983); 77;U.S.;M;36 ;183 ; 36;18 ;195 ; 26;vegetarian;cholesterol
Kritchevsky et al., (1984); 78;U.S.;M/F;25 ;149 ; 8.2;25 ;207 ; 6.9;vegetarian;cholesterol
Fisher et al., (1986); 79;U.S.;M/F;25 ;140.1 ; 28.1;25 ;172.9 ; 26.9;vegetarian;cholesterol
Faber et al., (1986); 5;South Africa;M;14 ;185.0 ; 50.4;10 ;180.2 ; 46.4;vegetarian;cholesterol
Faber et al., (1986); 5;South Africa;F;19 ;190.6 ; 40.3;12 ;193.0 ; 34.0;vegetarian;cholesterol
Thorogood et al., (1987); 80;U.K.;M/F;1550 ;188.7 ; 3.9;1198 ;205.3 ; 38.7;vegetarian;cholesterol
Nieman et al., (1989); 7;U.S.;F;19 ;209.2 ; 7.7;12 ;250.6 ; 11.2;vegetarian;cholesterol
Nieman et al., (1989); 8;U.S.;F;23 ;217.3 ; 8.1;13 ;249.8 ; 10.4;vegetarian;cholesterol
Thorogood et al., (1990); 9 ;U.K.;M;26 ;205 ; 5.8;26 ;228.2 ; 7;vegetarian;cholesterol
Thorogood et al., (1990); 9;U.K.;F;26 ;208.0 ; 6.2;26 ;230.1 ; 7.7;vegetarian;cholesterol
Pronczuk et al., (1992); 81;U.S.;M;28 ;122 ; 5;28 ;206 ; 6;vegetarian;cholesterol
Pronczuk et al., (1992); 81;U.S.;F;51 ;138 ; 3;51 ;188 ; 4;vegetarian;cholesterol
Reddy et al., (1992); 10;U.K.;F;40 ;178.3 ; 6.5;22 ;200.7 ; 8.2;vegetarian;cholesterol
Supawan et al., (1992); 11;Thailand;M;69 ;153.5 ; 2.4;32 ;204.5 ; 2.5;vegetarian;cholesterol
Supawan et al., (1992); 11;Thailand;F;68 ;166.5 ; 1.5;36 ;206.0 ; 2.4;vegetarian;cholesterol
Ho et al., (1993); 82;China;M/F;15 ;174.0 ; 50.3;20 ;162.4 ; 27.1;vegetarian;cholesterol
Pan et al., (1993); 13;Taiwan;M;23 ;136.1 ; 17.8;20 ;160.9 ; 27.5;vegetarian;cholesterol
Pan et al., (1993); 13;Taiwan;F;32 ;135.3 ; 30.2;38 ;171.3 ; 26.7;vegetarian;cholesterol
Melby et al., (1994); 14;U.S.;M/F;66 ;181.8 ; 3.9;45 ;208.8 ; 7.7;vegetarian;cholesterol
Krajcovicova et al., (1994); 15;Slovak Rep.;M;31 ;167.8 ; 5.0;24 ;208.4 ; 6.2;vegetarian;cholesterol
Krajcovicova et al., (1994); 15;Slovak Rep.;F;28 ;158.9 ; 1.2;26 ;203.4 ; 7;vegetarian;cholesterol
Krajcovicova et al., (1996); 17;Slovak Rep.;M;42 ;174.0 ; 4.6;29 ;218.1 ; 7.7;vegetarian;cholesterol
Krajcovicova et al., (1996); 17;Slovak Rep.;F;39 ;174.8 ; 3.9;33 ;215.0 ; 5.4;vegetarian;cholesterol
Williams et al., (1997); 18;U.S.;M;199 ;189.9 ; 38.7;7054 ;196.4 ; 34.4;vegetarian;cholesterol
Williams et al., (1997); 18;U.S.;F;152 ;182.1 ; 29.4;1837 ;187.2 ; 33.6;vegetarian;cholesterol
Woo et al., (1998); 83;China;F;106 ;185.6 ; 42.5;53 ;228.2 ; 46.4;vegetarian;cholesterol
Harman et al., (1998); 19;New Zealand;M;12 ;193.4 ; 30.9;11 ;201.1 ; 38.7;vegetarian;cholesterol
Harman et al., (1998); 19;New Zealand;F;12 ;185.6 ; 42.5;12 ;205 ; 7.7;vegetarian;cholesterol
Li et al., (1999); 84;Australia;F;50 ;159.7 ; 27.1;24 ;179.0 ; 33.3;vegetarian;cholesterol
Korpela et al., (1999); 21;Finland;M/F;11 ;159.7 ; 34.4;7 ;199.2 ; 23.2;vegetarian;cholesterol
Thomas et al., (1999); 22;U.K.;F;578 ;171.3 ; 3;376 ;184 ; 3.0;vegetarian;cholesterol
Lee et al., (2000); 23;China;M/F;60 ;174.4 ; 28.6;133 ;187.2 ; 34.8;vegetarian;cholesterol
Kwok et al., (2000); 24;China;F;90 ;185.6 ; 42.5;90 ;208.8 ; 34.8;vegetarian;cholesterol
Krajcovicova et al., (2000); 25;Slovak Rep.;M/F;54 ;179.8 ; 1.55;59 ;219.3 ; 1.9;vegetarian;cholesterol
Lu et al., (2000); 26;Taiwan;M;26 ;151.2 ; 23.2;26 ;193.3 ; 40.2;vegetarian;cholesterol
Lu et al., (2000); 26;Taiwan;F 1;29 ;146.6 ; 23.2;27 ;198.4 ; 50.7;vegetarian;cholesterol
Lu et al., (2000); 26;Taiwan;F 2;55 ;136.9 ; 22.4;60 ;161.3 ; 30.2;vegetarian;cholesterol
Lin et al., (2001); 27;Taiwan;M/F;20 ;162 ; 32;20 ;166 ; 36;vegetarian;cholesterol
Szeto et al., (2004); 85;China;M/F;30 ;185.6 ; 42.5;30 ;189.5 ; 50.3;vegetarian;cholesterol
Kwok et al., (2005); 29;China;M/F;49 ;177.9 ; 30.9;49 ;205 ; 38.7;vegetarian;cholesterol
Su et al., (2006); 33;Taiwan;F;57 ;189.5 ; 30.9;61 ;212.7 ; 27.1;vegetarian;cholesterol
Fu et al., (2006); 35;Taiwan;F;35 ;174 ; 4;35 ;204 ; 9;vegetarian;cholesterol
De Biase et al., (2007); 36;Brazil;M/F;19 ;175.3 ; 28.5;22 ;208.1 ; 49.1;vegetarian;cholesterol
Teixeira et al., (2007); 37;Brazil;M/F;67 ;173 ; 36;134 ;225 ; 45;vegetarian;cholesterol
Yen et al., (2008); 38;Taiwan;M/F;21 ;159.4 ; 53.3;28 ;187.2 ; 45.4;vegetarian;cholesterol
Fu et al., (2008); 39;Taiwan;F;35 ;174.0 ; 4.3;35 ;203.6 ; 8.6;vegetarian;cholesterol
Slavicek et al., (2008); 40;Czech Rep.;M/F;195 ;155.1 ; 34.8;201 ;200.7 ; 30.9;vegetarian;cholesterol
Chen et al., (2008); 41;Taiwan;M/F;99 ;184.74 ; 33.2;99 ;202.0 ; 41.1;vegetarian;cholesterol
Pitla et al., (2009); 43;India;M;14 ;186.4 ; 19.7;15 ;193.3 ; 30.2;vegetarian;cholesterol
Pitla et al., (2009); 43;India;F;12 ;174.0 ; 20.5;11 ;166.3 ; 24.4;vegetarian;cholesterol
Sambol et al., (2009); 44 ;Croatia;M/F;30 ;164.0 ; 36.7;50 ;189.1 ; 23.2;vegetarian;cholesterol
Lin et al., (2010); 45;Taiwan;M/F;102 ;168.8 ; 33;102 ;186.6 ; 31.8;vegetarian;cholesterol
Yang et al., (2011); 49;China;M;171 ;166.3 ; 24.4;129 ;193.7 ; 33.3;vegetarian;cholesterol
Chen et al., (2011); 50;Taiwan;F;173 ;180.6 ; 36.6;190 ;192.7 ; 36.6;vegetarian;cholesterol
Fernandes-Dourado et al., (2011); 86;Brazil;M/F;29 ;160.1 ; 48.5;58 ;207.1 ; 34.7;vegetarian;cholesterol
Kim et al., (2012); 54;Rep. of Korea;M/F;45 ;173.7 ; 31.4;30 ;193.2 ; 37.9;vegetarian;cholesterol
Ingenbleek et al., (2012); 56;France;M;24 ;153.9 ; 22.8;15 ;166.7 ; 35.6;vegetarian;cholesterol
Huang et al., (2012); 57;China;M;103 ;165.1 ; 36.3;128 ;214.6 ; 37.9;vegetarian;cholesterol
Zhang et al., (2013); 59;China;M;170 ;164.8 ; 24.4;126 ;194.9 ; 35.6;vegetarian;cholesterol
Jung et al., (2013); 62;Rep. of Korea;M;148 ;201.8 ; 38.2;148 ;212.1 ; 45.3;vegetarian;cholesterol
Chiang et al., (2013); 63;Taiwan;F;391 ;181 ; 32.1;315 ;201.5 ; 34.8;vegetarian;cholesterol
Bradbury et al., (2014); 87;U.K.;M;168 ;188.3 ; 1.3;168 ;204.2 ; 1.3;vegetarian;cholesterol
Bradbury et al., (2014); 87;U.K.;F;255 ;184.1 ; 1.1;256 ;195.3 ; 1.1;vegetarian;cholesterol
Huang et al., (2014); 88;Taiwan;F;76 ;165.8 ; 31.1;2285 ;175.2 ; 33.2;vegetarian;cholesterol
Huang et al., (2014); 88;Taiwan;F;51 ;198.9 ; 51.5;1040 ;204.8 ; 38.3;vegetarian;cholesterol
Jian et al., (2014); 89;Taiwan;M;68 ;172.4 ; 33.2;3144 ;181.7 ; 35.9;vegetarian;cholesterol
Jian et al., (2014); 89;Taiwan;F;127 ;178.5 ; 43.1;3325 ;184.3 ; 37.4;vegetarian;cholesterol
Vinagre et al., (2014); 67;Brazil;M/F;18 ;166.3 ; 26.7;29 ;166.3 ; 26.7;vegetarian;cholesterol
Sacks et al., (1975); 70;U.S.;M/F;115 ;73 ; 24;115 ;118 ; 34;vegetarian;ldl_cholesterol
Burslem et al., (1978); 72;U.S.;M;25 ;78.5 ; 16;35 ;124 ; 29;vegetarian;ldl_cholesterol
Burslem et al., (1978); 72;U.S.;F;31 ;87.5 ; 22.5;43 ;121 ; 29.5;vegetarian;ldl_cholesterol
